,interpreter,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01
45,David Guetta x MistaJam & John Newman,0,0,0,0,0,0,0,0,1,0,1,9,3,5,9,9,6,9,11,14,13,18,22,20,22,18,21,16,16,18,16,16,16,8,13,19,18,20,19,19,21,20,19,6,1,0,0,0,1,0,0,0
46,The Kid Laroi feat. Justin Bieber,0,0,0,0,0,0,0,0,0,0,0,6,3,9,13,8,15,14,10,16,15,17,20,19,20,19,20,21,21,18,15,17,18,13,13,17,19,18,20,19,22,13,12,13,9,9,10,11,10,13,10,9
47,Adele,7,3,7,3,5,3,9,2,6,10,7,5,8,6,9,7,6,5,5,6,10,11,8,9,14,20,17,21,23,22,25,23,21,11,16,25,25,21,23,23,20,13,18,17,19,18,11,11,18,14,15,14
48,Milky Chance,0,1,0,0,0,0,1,1,1,1,2,5,5,10,10,18,12,12,10,15,16,14,17,17,19,20,18,16,15,14,16,14,12,8,9,14,14,17,18,11,2,2,4,5,3,4,5,6,7,19,20,21
49,Laurell,0,0,0,0,0,2,1,5,5,11,9,13,16,14,13,14,17,14,14,15,13,17,13,16,15,15,18,18,18,21,22,19,18,9,11,17,17,8,4,5,2,9,11,13,11,10,7,9,6,10,11,10
50,Klangkarussell,6,2,2,3,1,5,5,5,7,7,8,10,7,8,5,7,6,17,15,18,19,17,15,16,17,18,17,18,18,19,25,21,19,16,12,21,19,20,19,21,23,10,8,5,5,3,4,6,5,3,2,5
51,Jason Derulo,10,4,8,9,7,7,9,11,8,9,9,10,10,8,10,5,6,4,8,9,12,14,13,17,15,15,12,18,20,22,26,18,17,13,13,21,19,24,16,21,22,22,22,29,30,34,32,26,23,28,28,19
52,Queen,10,10,6,13,8,12,12,14,13,13,10,12,12,7,12,10,13,13,13,10,11,13,10,11,13,10,13,12,11,20,10,17,14,17,19,8,8,10,10,6,7,9,6,6,6,7,5,6,9,8,12,5
53,Pascal Letoublon feat. Leony,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,13,13,15,13,15,16,17,22,18,15,9,12,16,17,18,19,19,11,8,7,10,6,7,8,5,6,4,6,6
54,Coldplay x BTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,11,12,12,14,17,16,18,18,20,11,15,20,19,20,21,21,22,21,21,29,27,26,20,22,24,20,21,21
55,Nathan Evans,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,11,16,12,16,9,17,13,14,16,16,15,14,17,18,18,16,18,19,7,13,20,20,20,22,16,12,7,12,11,11,8,4,7,10,9,9,8
56,Pentatonix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Sia,11,7,4,4,3,4,3,6,6,4,6,3,3,4,3,9,12,12,12,8,9,5,1,3,3,3,2,2,3,8,7,9,16,22,7,13,8,12,11,12,17,11,14,10,15,10,14,13,12,14,9,14
58,Ed Sheeran & Elton John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Robbie Williams,10,11,9,11,12,4,5,8,9,11,10,10,10,11,10,12,10,6,11,9,15,3,11,13,10,10,8,12,5,11,11,10,12,17,13,5,8,12,12,4,10,5,12,5,7,8,6,7,8,10,7,10
60,Elton John & Dua Lipa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,13,13,17,16,12,15,18,16,12,19,17,18,16,18,27,27,27,28,26,24,24,24,30,25,18,21
61,Melanie Thornton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Glass Animals,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,4,9,14,13,11,14,17,14,17,14,4,3,4,4,2,3,5,4,4,4,4,2
63,Folkshilfe,3,2,1,5,9,5,6,11,6,11,5,7,8,7,8,7,8,5,8,8,6,7,5,3,3,5,9,13,7,11,10,14,15,13,13,20,16,18,15,21,18,11,4,4,4,4,8,4,5,4,6,3
64,Bon Jovi,14,9,13,15,12,9,9,13,10,6,13,8,11,15,11,13,9,11,7,10,10,10,10,9,11,13,8,15,9,10,8,9,9,4,17,15,14,10,12,10,9,8,8,9,5,8,9,7,7,8,10,6
65,Falco,10,15,6,17,12,15,9,11,15,14,14,16,12,11,11,12,11,17,13,10,15,11,10,14,9,14,10,11,14,6,8,8,11,7,16,11,9,6,8,6,11,7,6,8,6,5,11,6,5,7,7,6
66,Lil Nas X,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,3,5,14,13,15,16,16,11,12,14,13,12,9,10,14,17,19,22,22,24,29,29,27,25,24,24,28,32,25,20,23
67,Ray Dalton feat. Alvaro Soler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,15,9,12,18,8,9,15,13,17,17,20,18,13,18,19,19,14,16,19,22,24,18,21
68,Nico Santos,3,6,4,4,4,5,5,6,7,2,7,3,4,8,3,1,0,3,2,4,6,12,11,13,16,14,11,13,14,12,12,12,12,10,13,19,19,19,13,20,27,26,27,22,24,26,24,23,23,11,10,7
69,Lost Frequencies x Calum Scott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,5,11,9,16,12,11,14,15,17,18,14,13,16,12,12,12,14,15,17,16,29,29,29,23,19,22,22,21,24,21,20,13
70,Gayle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,1,0,9,12,18,18,25,24,24,26,29,29,31,31,30,20,12,19
71,Alle Farben feat. KIDDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,5,4,3,9,15,13,16,13,11,9,12,10,14,14,14,16,23,25,23,22,23,23,19,16,10,4,0,0
72,Imagine Dragons feat. JID & League Of Legends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,9,8,6,18,23,21,23,22,23,23,22,23,21,23
73,Glockenbach feat. ClockClock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,23,19,21,29,31,25,23,14,13,28
