Things We Lost in the Fire;Bastille;1;0;0;0;0;0;0;
Good Grief;Bastille;0;1;0;1;0;0;1;
Pompeii;Bastille;0;0;1;0;0;1;0;
Heaven Is a Place on Earth;Belinda Carlisle;0;0;2;0;0;0;0;
Leave a Light On;Belinda Carlisle;0;0;0;0;2;0;0;
Rescue Me;Bell Book & Candle;0;0;0;0;1;0;0;
Take My Breath Away;Berlin;0;0;0;0;0;0;1;
Halo;Beyoncé;0;2;0;0;0;0;0;
Nahuel Huapi;Bilderbuch;1;2;2;2;1;1;2;
Eine Nacht in Manila;Bilderbuch;0;1;0;0;0;0;0;
Maschin;Bilderbuch;0;0;0;0;1;0;0;
Bungalow;Bilderbuch;0;0;0;0;0;2;0;
Video Life;Bilgeri;0;0;0;0;0;1;0;
The Time of My Life;Bill Medley / Jennifer Warnes;0;0;0;1;0;0;0;
Bad Guy;Billie Eilish;0;0;1;0;0;0;0;
Rebel Yell;Billy Idol;0;1;0;0;0;0;0;
I Go to Extremes;Billy Joel;0;0;1;0;0;0;0;
Uptown Girl;Billy Joel;0;0;0;0;1;0;0;
We Didn't Start the Fire;Billy Joel;0;0;0;0;0;1;0;
How to Dance;Bingoboys feat. Princessa;0;0;0;1;0;0;0;
All the Small Things;Blink 182;0;0;0;0;2;0;0;
Maria;Blondie;0;0;1;0;0;0;0;
The Bad Touch;Bloodhound Gang;0;0;1;0;0;0;0;
It's My Life;Bon Jovi;1;0;0;0;0;0;0;
Bed of Roses;Bon Jovi;1;0;0;0;0;0;0;
Livin' on a Prayer (Live);Bon Jovi;0;1;0;0;0;0;0;
We Weren't Born to Follow (Live);Bon Jovi;0;0;1;0;0;0;0;
We Weren't Born to Follow;Bon Jovi;0;0;1;0;0;0;0;
Someday I'll Be Saturday Night (Live);Bon Jovi;0;0;1;0;0;0;0;
Livin' on a Prayer;Bon Jovi;0;0;0;1;0;0;0;
Saturday Night Gave Me Sunday Morning;Bon Jovi;0;0;0;1;0;0;0;
Always (Live);Bon Jovi;0;0;0;1;0;0;0;
Always;Bon Jovi;0;0;0;0;1;0;0;
You Give Love a Bad Name;Bon Jovi;0;0;0;0;1;0;0;
These Days;Bon Jovi;0;0;0;0;0;2;0;
Total Eclipse of the Heart;Bonnie Tyler;0;0;1;0;0;0;0;
Holding out for a Hero;Bonnie Tyler;0;0;0;1;0;0;0;
Trag meine Liebe wie einen Mantel;Boris Bukowski;0;0;1;0;0;0;0;
Circus;Britney Spears;0;0;1;0;0;0;0;
Oops! I Did It Again;Britney Spears;0;0;0;0;1;0;0;
Dancing in the Dark;Bruce Springsteen;0;1;0;0;0;0;0;
Glory Days;Bruce Springsteen;0;1;0;0;0;0;1;
Lucky Town;Bruce Springsteen;0;1;0;0;0;0;0;
Born to Run;Bruce Springsteen;0;0;1;0;0;0;0;
I'm Goin' Down;Bruce Springsteen;0;0;0;1;0;0;0;
Streets of Philadelphia;Bruce Springsteen;0;0;0;1;0;0;0;
Born in the U.S.A.;Bruce Springsteen;0;0;0;0;2;0;0;
Tougher Than the Rest;Bruce Springsteen;0;0;0;0;0;1;0;
Locked out of Heaven;Bruno Mars;2;0;0;0;0;0;0;
Count on Me;Bruno Mars;0;1;0;0;0;1;0;
Just the Way You Are;Bruno Mars;0;0;0;1;0;0;0;
Marry You;Bruno Mars;0;0;0;0;1;0;0;
Summer of '69 (Live);Bryan Adams;0;0;1;0;0;0;0;
Straight from the Heart;Bryan Adams;0;0;1;0;0;0;0;
Summer of '69;Bryan Adams;0;0;1;0;0;0;0;
Heaven;Bryan Adams;0;0;0;1;0;0;0;
Can't Stop This Thing We Started;Bryan Adams;0;0;0;1;0;0;0;
Summer of '69 (Live Aid);Bryan Adams;0;0;0;1;0;0;0;
When You're Gone;Bryan Adams / Melanie C;0;0;0;0;0;2;0;
Outside;Calvin Harris feat. Ellie Goulding;1;0;0;1;0;2;0;
Call Me Maybe;Carly Rae Jepsen;1;0;0;2;0;0;0;
You've Got a Friend;Carole King;0;1;0;0;0;0;0;
